Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C4, C5, C7, C8, C9",0805,9,10uF,C1713
C11,0805,1,22uF,C45783
"C12, C6",0805,2,0.1uF,C38141
"D1, D3",0603,2,GLED,C22371297
D2,0603,1,RLED,C2286
J1,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_24P,C18357553
"L1, L2",L_TracoPower_TCK-047_5.2x5.8mm,2,2.2uH,C177244
ON,PinHeader_1x02_P2.54mm_Vertical,1,SW_DIP_x01,C126888
R1,0805,1,0.4Ω,C247017
R10,0805,1,2kΩ,C1359
R11,0805,1,100Ω,C17408
R12,0805,1,300kΩ,C17616
R13,0805,1,75kΩ,C17819
"R2, R3, R8",0805,3,1kΩ,C2907195
"R4, R6",0805,2,5.1kΩ,C2930296
R5,0805,1,1.33kΩ,C2933524
R7,0805,1,10kΩ,C25612
R9,0805,1,470Ω,C2907267
U1,SOT-583-8,1,TPS2116DRL,C3235557 
U2,SOP-8_3.9x4.9mm_P1.27mm,1,TP4056,C725790
U3,SOT-23-6_Handsoldering,1,DW01A,C2927799
U4,SOP-8_3.9x4.9mm_P1.27mm,1,TP5188,C29075512
U5,Texas_DRC0010J_ThermalVias,1,TPS63001,C28060
